abuse_01,abuse_02,abuse_03,abuse_04,abuse_05,address,changed_01,changed_02,changed_03,cidr_01,cidr_02,city_01,city_02,comments_01,comments_02,comments_03,comments_04,comments_05,comments_06,comments_07,comments_08,comments_09,comments_10,country_01,country_02,created_at,descr_01,descr_02,descr_03,descr_04,descr_05,descr_06,descr_07,descr_08,descr_09,descr_10,email_01,email_02,email_03,email_04,email_05,email_06,email_07,email_08,email_09,email_10,fax_01,fax_02,fax_03,hostmax_01,hostmax_02,hostmax_03,hostmax_04,hostmax_05,hostmax_06,hostmax_07,hostmax_08,hostmax_09,hostmax_10,hostmin_01,hostmin_02,hostmin_03,hostmin_04,hostmin_05,hostmin_06,hostmin_07,hostmin_08,hostmin_09,hostmin_10,inetnum_01,inetnum_02,inetnum_03,inetnum_04,inetnum_05,inetnum_06,inetnum_07,inetnum_08,inetnum_09,inetnum_10,info,mnt_01,mnt_02,mnt_03,mnt_04,mnt_05,mnt_06,name,netcount_01,netcount_02,netcount_03,netcount_04,netcount_05,netcount_06,netcount_07,netcount_08,netcount_09,netcount_10,netmask_01,netmask_02,netmask_03,netmask_04,netmask_05,netmask_06,netmask_07,netmask_08,netmask_09,netmask_10,netname_01,netname_02,nichdl_01,nichdl_02,nichdl_03,nichdl_04,nichdl_05,notes,nserver_01,nserver_02,nserver_03,nslastaa_01,nslastaa_02,organization_01,organization_02,organization_03,organization_04,organization_05,orgname_01,orgname_02,orgname_03,orgname_04,orgname_05,originas_01,originas_02,originas_03,originas_04,originas_05,originas_06,originas_07,originas_08,originas_09,originas_10,other_01,other_02,other_03,other_04,other_05,other_06,other_07,other_08,other_09,other_10,parent_01,parent_02,parent_03,person_01,person_02,person_03,phone_01,phone_02,phone_03,postalcode_01,postalcode_02,ref_01,ref_02,ref_03,ref_04,ref_05,ref_06,ref_07,ref_08,ref_09,ref_10,regdate_01,regdate_02,remarks_01,remarks_02,remarks_03,remarks_04,remarks_05,remarks_06,remarks_07,remarks_08,remarks_09,remarks_10,route_01,route_02,rwhois_01,rwhois_02,rwhois_03,rwhois_04,rwhois_05,source,state_01,state_02,updated_01,updated_02,updated_03,updated_at,w_address_01,w_address_02,w_address_03,w_address_04,w_address_05,w_address_06,w_address_07,w_address_08,w_address_09,w_address_10
IC146-ARIN,Cox Communications Inc,+1-404-269-7626 ,abuse@cox.net,http://whois.arin.net/rest/poc/IC146-ARIN,174.77.229.226,NULL,NULL,NULL,174.64.0.0/12,174.77.224.0/20,Atlanta,NULL,For legal requests/assistance please use the,http://www.cox.com/policy/leainformation/default.asp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,US,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,tori.berube@cox.com,alvin.anderson@cox.com,abuse@cox.net,tiffany.coleman@cox.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174.79.255.254,174.77.239.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174.64.0.1,174.77.224.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,174.64.0.0/12,174.77.224.0/20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048574,4094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.240.0.0,255.255.240.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CXA,NETBLK-AT-CBS-174-77-224-0,NET-174-64-0-0-1,BERUB3-ARIN,ADA131-ARIN,NIA16-ARIN,RWA196-ARIN,NULL,NULL,NULL,NULL,NULL,NULL,Cox Communications Inc. ( CXA ),NULL,NULL,NULL,NULL,Cox Communications Inc.,Berube  Tori ,Anderson  Alvin Demond,Waldron  Roderick ,BA  Aboubakr ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Direct Allocation,2012-03-02,CXA,2014-09-29,Cox Communications ( C02438037 ),2010-03-08,Cox Communications,2011-03-19,NULL,NULL,NET174 ( NET-174-0-0-0-0 ),CXA ( NET-174-64-0-0-1 ),NULL,NULL,NULL,NULL,404-269-0100,+1-404-269-4416 ,+1-404-269-7626 ,30319,NULL,http://whois.arin.net/rest/net/NET-174-64-0-0-1,http://whois.arin.net/rest/org/CXA,http://whois.arin.net/rest/poc/BERUB3-ARIN,http://whois.arin.net/rest/poc/ADA131-ARIN,http://whois.arin.net/rest/poc/NIA16-ARIN,http://whois.arin.net/rest/poc/RWA196-ARIN,http://whois.arin.net/rest/poc/BAABO-ARIN,http://whois.arin.net/rest/net/NET-174-77-224-0-1,http://whois.arin.net/rest/customer/C02438037,NULL,2009-02-19,2010-03-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARIN,GA,NULL,NULL,NULL,NULL,NULL,1400 Lake Hearn Dr.,1400 Lake Hearn Dr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@ovh.net,NULL,NULL,NULL,NULL,176.31.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FR,NULL,2015-07-07 20:22:06 UTC,PROCONSEIL,OVH ISP,Paris  France,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@ovh.net,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176.31.0.14,176.31.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176.31.0.1,176.31.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176.31.0.0/28,176.31.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OVH-MNT,NULL,NULL,NULL,NULL,NULL,NULL,14,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.240,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PROCONSEIL,NULL,OTC2-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS16276,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OTC2-RIPE,ASSIGNED PA,OVH Technical Contact,OK217-RIPE,GM84-RIPE,SL10162-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176.31.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,OVH SAS,2 rue Kellermann,59100 Roubaix,France,NULL,NULL,NULL,NULL,NULL,NULL
abuse@hetzner.de,HOAC1-RIPE,NULL,NULL,NULL,176.9.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE,NULL,2015-07-07 20:22:06 UTC,Hetzner Online AG,Datacenter 14,HETZNER-RZ-FKS-BLK4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@hetzner.de,peering@hetzner.de,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+49 9831 61 00 62,+49 9831 610062,NULL,176.9.0.30,176.9.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176.9.0.1,176.9.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176.9.0.0/27,176.9.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOS-GUN,RIPE-NCC-HM-MNT,NULL,NULL,NULL,NULL,NULL,30,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.224,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HETZNER-RZ14,NULL,HOAC1-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hetzner Online AG,NULL,NULL,NULL,NULL,AS24940,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOAC1-RIPE,ASSIGNED PA,Hetzner Online AG - Contact Role,ORG-HOA1-RIPE,MH375-RIPE,GM834-RIPE,SK2374-RIPE,TF2013-RIPE,MF1400-RIPE,SK8441-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,+49 9831 61 00 61,+49 9831 610061,NULL,NULL,NULL,HOS-GUN,RIPE-NCC-HM-MNT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* For spam/abuse/security issues please contact *,*   abuse@hetzner.de  not this address.         *,*   The contents of your abuse email will be    *,*   forwarded directly on to our client for     *,*   handling.                                   *,*    Any questions on Peering please send to    *,*              peering@hetzner.de               *,NULL,NULL,NULL,176.9.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Hetzner Online AG,Stuttgarter Strasse 1,D-91710 Gunzenhausen,Germany,Attn. Martin Hetzner,Industriestrasse 25,91710,Gunzenhausen,GERMANY,NULL
AAS1009,NULL,NULL,NULL,NULL,177.126.144.0,20130108,20120822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,firemicro@uol.com.br,cert@cert.br,mail-abuse@cert.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.7.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177.126.144/21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.248.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Firemicro Informática Com. E Serv. Ltda,097.430.847/0001-48,AAS1009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS52714,AAS1009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Alessandro Antonio Sampaio dos Santos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20130108,20050331,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nic.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EXJ2,NULL,NULL,NULL,NULL,177.36.208.0,20110601,20090204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,edson@ntbr.com.br,cert@cert.br,mail-abuse@cert.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.15.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177.36.208/20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.240.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ns1.klisatelecom.com.br ,ns2.klisatelecom.com.br ,NULL,20141201,NULL,NT Brasil Tecnologia Ltda. ME,010.560.288/0001-02,EXJ2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS52967,EXJ2,177.36.208/24,20141201 AA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Edson Xavier Veloso Júnior,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20110601,20020923,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nic.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SZS3,NULL,NULL,NULL,NULL,177.55.66.146,20110603,20080303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BR,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dominios@zumpatelecom.com.br,cert@cert.br,mail-abuse@cert.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.15.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,177.55.64/20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.240.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ns1.zumpatelecom.com.br ,ns2.zumpatelecom.com.br ,NULL,20141204,NULL,Zumpa Telecom Telecomunicações EIRELI,016.894.727/0001-08,SZS3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS262484,SZS3,177.55.66/24,20141204 AA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sergio Zumpano Pereira Santos,Sérgio Zumpano Pereira Santos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20110603,20010203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nic.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,178.250.128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CH,NULL,2015-07-07 20:22:06 UTC,Internal Infrastructure,Automatic Server AG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,admin@automatic-server.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.250.128.254,178.250.135.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.250.128.1,178.250.128.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.250.128.0/24,178.250.128.0/21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MNT-AUTO-CH,MNT-INIT7-NOC,OS92721-MNT,NULL,NULL,NULL,NULL,254,2046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.0,255.255.248.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,INTERNAL-INFRA,NULL,OS2605-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS13030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS2605-RIPE,ASSIGNED PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oliver Schad,NULL,NULL,+41715113111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.250.128.0/21,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Waldhofstr. 16a,9240 Uzwil,Switzerland,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OA1725-RIPE,abuse@1blu.de,NULL,NULL,NULL,178.254.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE,NULL,2015-07-07 20:22:06 UTC,EVANZO e-commerce GmbH,DE-EVANZO-MK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@1blu.de,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+493020181001,+421 20871055,NULL,178.254.63.254,178.254.31.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.254.0.1,178.254.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.254.0.0/18,178.254.0.0/19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIPE-NCC-HM-MNT,MNT-RN1131-RIPE,LEVEL3-MNT,HRW-NOC,NULL,NULL,NULL,16382,8190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.192.0,255.255.224.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE-EVANZO-20100618,NULL,JD536-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,EVANZO e-commerce GmbH,NULL,NULL,NULL,NULL,AS42730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORG-EeG3-RIPE,JD536-RIPE,ALLOCATED PA,LIR,RN1131-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Johann Dasch,NULL,NULL,+493020181000,+421 20871000,NULL,NULL,NULL,RIPE-NCC-HM-MNT,MNT-RN1131-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.254.0.0/19,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,EVANZO e-commerce GmbH,Johann Dasch,Stromstr. 1-5,10555,Berlin,GERMANY,evanzo e-commerce GmbH,Stromstrasse 1-5,10555 Berlin,NULL
abuse@oriontelekom.rs,NULL,NULL,NULL,NULL,178.254.161.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RS,NULL,2015-07-07 20:22:06 UTC,Orion Telekom   CDMA Users,Orion Telekom Internet users in Zrenjanin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@oriontelekom.rs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+381 11 2228 334,NULL,NULL,178.254.175.254,178.254.183.254,178.254.167.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.254.160.1,178.254.176.1,178.254.160.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.254.160.0/20,178.254.176.0/21,178.254.160.0/21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORIONTELEKOM-MNT,NULL,NULL,NULL,NULL,NULL,NULL,4094,2046,2046,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.240.0,255.255.248.0,255.255.248.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ORIONTELEKOM-BB-NET,NULL,OTN7-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS9125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OTN7-RIPE,ASSIGNED PA,Orion Telekom NOC,TERZ1-RIPE,BL3549-RIPE,ZA1048-RIPE,VG1799-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+381 11 2228 388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Please send abuse reports to abuse@oriontelekom.rs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.254.160.0/21,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Orion Telekom,Gandijeva 76a  Belgrade  Serbia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
abuse@hetzner.de,HOAC1-RIPE,NULL,NULL,NULL,178.63.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,DE,NULL,2015-07-07 20:22:06 UTC,Hetzner Online AG,Datacenter 10,HETZNER-RZ-FKS-BLK2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@hetzner.de,peering@hetzner.de,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,+49 9831 61 00 62,+49 9831 610062,NULL,178.63.0.62,178.63.255.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.63.0.1,178.63.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178.63.0.0/26,178.63.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOS-GUN,RIPE-NCC-HM-MNT,NULL,NULL,NULL,NULL,NULL,62,65534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.192,255.255.0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HETZNER-RZ10,NULL,HOAC1-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Hetzner Online AG,NULL,NULL,NULL,NULL,AS24940,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,HOAC1-RIPE,ASSIGNED PA,Hetzner Online AG - Contact Role,ORG-HOA1-RIPE,MH375-RIPE,GM834-RIPE,SK2374-RIPE,TF2013-RIPE,MF1400-RIPE,SK8441-RIPE,NULL,NULL,NULL,NULL,NULL,NULL,+49 9831 61 00 61,+49 9831 610061,NULL,NULL,NULL,HOS-GUN,RIPE-NCC-HM-MNT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,* For spam/abuse/security issues please contact *,*   abuse@hetzner.de  not this address.         *,*   The contents of your abuse email will be    *,*   forwarded directly on to our client for     *,*   handling.                                   *,*    Any questions on Peering please send to    *,*              peering@hetzner.de               *,NULL,NULL,NULL,178.63.0.0/16,NULL,NULL,NULL,NULL,NULL,NULL,RIPE,NULL,NULL,NULL,NULL,NULL,NULL,Hetzner Online AG,Stuttgarter Strasse 1,D-91710 Gunzenhausen,Germany,Attn. Martin Hetzner,Industriestrasse 25,91710,Gunzenhausen,GERMANY,NULL
TSD2,NULL,NULL,NULL,NULL,179.43.128.0,20131112,20140528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PA,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,abuse@PRIVATELAYER.COM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.63.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,179.43.128/18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.192.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TSD2,NULL,NULL,NULL,NULL,NULL,DNS01.PRIVATELAYER.COM  ,DNS02.PRIVATELAYER.COM  ,NULL,20141204,NULL,PRIVATE LAYER INC,PA-PLIN-LACNIC,TSD2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,TSD2,179.43.128/24,20141204 AA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ezequiel Pineda,NULL,NULL,+507  8365449 [],+507  8365601 [32],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20131112,20101004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LACNIC,NULL,NULL,NULL,NULL,NULL,NULL,Torres De Las Americas  Torre C  0  Piso 29 Suite 2901,00000 - Panama - ,Ocean Business Plaza  Piso 17 Suite 1703    Marbella,00000 - Panama City - PA,NULL,NULL,NULL,NULL,NULL,NULL
VIG28,NULL,NULL,NULL,NULL,179.61.128.0,20140106,20140108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CL,NULL,2015-07-07 20:22:06 UTC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,noc@AS61440.NET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.127.254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.168.0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,179.61.128/17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.128.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VIG28,NULL,NULL,NULL,NULL,NULL,NS5.AS61440.NET  ,NS6.AS61440.NET  ,NS7.AS61440.NET  ,20141203,NULL,Digital Energy Technologies Chile SpA,CL-DETC-LACNIC,VIG28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AS61440,VIG28,179.61.128/24,20141203 AA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vincentas Grinius,Network Operating Center,NULL,+56 226 382322 [],+56 229 382322 [],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20140106,20130508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LACNIC,NULL,NULL,NULL,NULL,NULL,NULL,Moneda  970  Piso 5,8320313 - Santiago - ,8320313 - Santiago - RM,NULL,NULL,NULL,NULL,NULL,NULL,NULL
